,glue/qqp,glue/sst2,dair-ai/emotion,imdb,glue/cola,tweet_eval/emotion,xnli_en,tweet_eval/emoji,glue/qnli,tweet_eval/sentiment,common_language,twitter-financial-news-sentiment,bertweet-covid19-cased-tweet-data,trec,glue/mnli,glue/rte,nli_tr/snli_tr,tweet_eval/offensive,glue/wnli,tweet_eval/irony,tweet_eval/hate,ag_news,rotten_tomatoes
common_language,46.62479782104492,46.47120666503906,62.512325286865234,59.4165153503418,43.591156005859375,42.323448181152344,43.81805419921875,36.00773620605469,43.51539993286133,42.093257904052734,0.0,40.994850158691406,44.913612365722656,49.14009094238281,38.71343231201172,42.95643997192383,33.25111770629883,39.980899810791016,39.26686477661133,38.866554260253906,40.758663177490234,44.651554107666016,50.282562255859375
twitter-financial-news-sentiment,31.227115631103516,38.4815788269043,52.803916931152344,46.18498229980469,29.37091636657715,33.79003143310547,29.778011322021484,28.234329223632812,27.494428634643555,27.71140480041504,40.994850158691406,0.0,30.641109466552734,35.82067108154297,24.279325485229492,24.350141525268555,57.27626419067383,33.87929153442383,30.02111053466797,31.095773696899414,29.564319610595703,19.710784912109375,41.58807373046875
bertweet-covid19-cased-tweet-data,20.208816528320312,28.654708862304688,38.00929260253906,37.08338165283203,23.7912540435791,19.983854293823242,20.4038028717041,24.857769012451172,29.43300437927246,20.795373916625977,44.913612365722656,30.641109466552734,0.0,23.20958709716797,23.07634925842285,32.10129928588867,58.438297271728516,19.64950942993164,30.108755111694336,19.19123077392578,17.956336975097656,29.776203155517578,28.76110076904297
trec,17.504371643066406,22.55853843688965,30.385364532470703,28.563438415527344,16.470088958740234,24.238405227661133,15.513594627380371,30.151798248291016,22.10958480834961,20.025497436523438,49.14009094238281,35.82067108154297,23.20958709716797,0.0,21.82720947265625,30.480134963989258,62.07742691040039,27.655895233154297,31.879436492919922,25.551498413085938,23.479103088378906,28.820011138916016,20.17618179321289
glue/mnli,16.224163055419922,23.981266021728516,38.9952278137207,36.10071563720703,17.075197219848633,22.35295867919922,14.71785831451416,23.325531005859375,17.288484573364258,18.508846282958984,38.71343231201172,24.279325485229492,23.07634925842285,21.82720947265625,0.0,20.930322647094727,54.78059768676758,22.485721588134766,16.373435974121094,20.52538299560547,17.567068099975586,21.168209075927734,28.129314422607422
glue/rte,29.49241065979004,38.5775260925293,50.3617057800293,41.534400939941406,25.074478149414062,36.68804931640625,28.027835845947266,34.409908294677734,14.716073036193848,28.848730087280273,42.95643997192383,24.350141525268555,32.10129928588867,30.480134963989258,20.930322647094727,0.0,58.21400833129883,36.5579833984375,28.639760971069336,35.42264938354492,29.835424423217773,13.89621353149414,39.90672302246094
nli_tr/snli_tr,60.9650764465332,59.16852951049805,70.70197296142578,70.04188537597656,58.528236389160156,54.20033645629883,57.21060562133789,50.19078826904297,59.04353332519531,55.07297897338867,33.25111770629883,57.27626419067383,58.438297271728516,62.07742691040039,54.78059768676758,58.21400833129883,0.0,53.928646087646484,53.43638610839844,51.96413803100586,53.66188049316406,59.470855712890625,61.60746383666992
tweet_eval/offensive,23.227710723876953,26.603118896484375,38.27650451660156,39.938751220703125,24.995481491088867,14.616937637329102,22.618030548095703,21.92652130126953,34.086483001708984,19.910123825073242,39.980899810791016,33.87929153442383,19.64950942993164,27.655895233154297,22.485721588134766,36.5579833984375,53.928646087646484,0.0,25.064498901367188,11.663578987121582,14.483647346496582,33.92951202392578,29.800315856933594
glue/wnli,26.29593276977539,32.32893371582031,45.03498458862305,42.61091232299805,23.425947189331055,25.95282745361328,25.568984985351562,24.795936584472656,29.308889389038086,23.22676658630371,39.26686477661133,30.02111053466797,30.108755111694336,31.879436492919922,16.373435974121094,28.639760971069336,53.43638610839844,25.064498901367188,0.0,23.3187255859375,22.752901077270508,28.152719497680664,36.00579833984375
tweet_eval/irony,22.300851821899414,22.080873489379883,34.30410385131836,36.50171661376953,23.02779197692871,7.257732391357422,18.980466842651367,13.705432891845703,31.92040252685547,13.756399154663086,38.866554260253906,31.095773696899414,19.19123077392578,25.551498413085938,20.52538299560547,35.42264938354492,51.96413803100586,11.663578987121582,23.3187255859375,0.0,12.131970405578613,31.747459411621094,25.17481803894043
tweet_eval/hate,20.48567771911621,22.687057495117188,32.948875427246094,34.439208984375,21.407194137573242,11.524277687072754,16.804180145263672,19.233945846557617,27.229232788085938,14.801267623901367,40.758663177490234,29.564319610595703,17.956336975097656,23.479103088378906,17.567068099975586,29.835424423217773,53.66188049316406,14.483647346496582,22.752901077270508,12.131970405578613,0.0,28.248905181884766,25.47869110107422
ag_news,28.52113151550293,36.172061920166016,47.00490188598633,40.65459442138672,22.46645164489746,33.15562057495117,25.716276168823242,31.15540313720703,20.130001068115234,23.32131004333496,44.651554107666016,19.710784912109375,29.776203155517578,28.820011138916016,21.168209075927734,13.89621353149414,59.470855712890625,33.92951202392578,28.152719497680664,31.747459411621094,28.248905181884766,0.0,37.82313537597656
rotten_tomatoes,26.909093856811523,15.054841995239258,23.94991111755371,21.86979866027832,25.838802337646484,20.85576629638672,18.396486282348633,30.478607177734375,30.646604537963867,23.101652145385742,50.282562255859375,41.58807373046875,28.76110076904297,20.17618179321289,28.129314422607422,39.90672302246094,61.60746383666992,29.800315856933594,36.00579833984375,25.17481803894043,25.47869110107422,37.82313537597656,0.0
