,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
11,amyma21/sincere_question_classification,ag_news,amyma21/sincere_question_classification,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.28237962722778,0.1552635555392877
12,SetFit/distilbert-base-uncased__sst2__train-32-9,ag_news,SetFit/distilbert-base-uncased__sst2__train-32-9,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,139.7658131122589,0.1515296184186981
13,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,ag_news,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,99.87973976135254,0.1501455093052292
14,michiyasunaga/LinkBERT-base,ag_news,michiyasunaga/LinkBERT-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,276.1922376155853,0.1487821833234231
15,ncduy/roberta-imdb-sentiment-analysis,ag_news,ncduy/roberta-imdb-sentiment-analysis,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,212.11912870407104,0.1472434566736004
16,nurkayevaa/autonlp-bert-covid-407910458,ag_news,nurkayevaa/autonlp-bert-covid-407910458,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.53418254852296,0.1457630458717267
17,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,ag_news,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,219.1601858139038,0.1434720836048287
18,bert-base-cased,ag_news,bert-base-cased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,245.93314671516416,0.1404730311899304
19,connectivity/cola_6ep_ft-33,ag_news,connectivity/cola_6ep_ft-33,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,253.22983360290527,0.1393573787044376
20,connectivity/cola_6ep_ft-10,ag_news,connectivity/cola_6ep_ft-10,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,273.0599818229676,0.1348830211103368
21,connectivity/cola_6ep_ft-22,ag_news,connectivity/cola_6ep_ft-22,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,222.4608609676361,0.1347486637457734
22,markt23917/finetuning-sentiment-model-3000-samples,ag_news,markt23917/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.1891508102417,0.1330097046759791
23,anirudh21/bert-base-uncased-finetuned-qnli,ag_news,anirudh21/bert-base-uncased-finetuned-qnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.71656584739685,0.1316433992911872
24,gchhablani/bert-base-cased-finetuned-wnli,ag_news,gchhablani/bert-base-cased-finetuned-wnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,235.93971228599548,0.1315949453359272
25,yukta10/finetuning-sentiment-model-3000-samples,ag_news,yukta10/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,135.77258777618408,0.1299386179625527
26,joebobby/finetuning-sentiment-model-5000-samples3,ag_news,joebobby/finetuning-sentiment-model-5000-samples3,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.1608390808105,0.128238401001284
27,heranm/finetuning-sentiment-model-3000-samples,ag_news,heranm/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.5393214225769,0.12538000295798
28,Alassea/glue_sst_classifier,ag_news,Alassea/glue_sst_classifier,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,218.7869668006897,0.1224913191662309
29,Jeevesh8/6ep_bert_ft_cola-12,ag_news,Jeevesh8/6ep_bert_ft_cola-12,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.26557850837708,0.1216795307100567
30,PrasunMishra/finetuning-sentiment-model-3000-samples,ag_news,PrasunMishra/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.39593052864076,0.1195574148179655
31,aXhyra/demo_sentiment_31415,ag_news,aXhyra/demo_sentiment_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.4953408241272,0.116759184917506
32,Jeevesh8/6ep_bert_ft_cola-29,ag_news,Jeevesh8/6ep_bert_ft_cola-29,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,221.1743047237396,0.1156522627471434
33,gchhablani/bert-base-cased-finetuned-rte,ag_news,gchhablani/bert-base-cased-finetuned-rte,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,236.11267375946045,0.1143152480656249
34,Jeevesh8/bert_ft_cola-88,ag_news,Jeevesh8/bert_ft_cola-88,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.1649022102356,0.1142258458734543
35,usami/distilbert-base-uncased-finetuned-cola,ag_news,usami/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,139.7812261581421,0.1102170024054816
36,saattrupdan/job-listing-relevance-model,ag_news,saattrupdan/job-listing-relevance-model,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,230.6669328212738,0.1088524822548042
37,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,ag_news,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,258.6862635612488,0.1063618288452003
38,aXhyra/presentation_sentiment_1234567,ag_news,aXhyra/presentation_sentiment_1234567,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.77898168563844,0.106040542161226
39,riyadhctg/distilbert-base-uncased-finetuned-cola,ag_news,riyadhctg/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.68205976486206,0.1032629826692401
40,dapang/distilroberta-base-mic-sym,ag_news,dapang/distilroberta-base-mic-sym,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.29873728752136,0.1022123998911568
41,pietrotrope/emotion_final,ag_news,pietrotrope/emotion_final,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.00465297698976,0.1014871283830674
42,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,ag_news,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,274.77029299736023,0.1014025946475284
43,Jeevesh8/bert_ft_cola-60,ag_news,Jeevesh8/bert_ft_cola-60,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,251.9079003334045,0.1002760097321006
44,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,ag_news,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,235.7603771686554,0.0996447649693956
45,Jeevesh8/6ep_bert_ft_cola-47,ag_news,Jeevesh8/6ep_bert_ft_cola-47,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.42587161064148,0.0975947642438311
46,Capreolus/bert-base-msmarco,ag_news,Capreolus/bert-base-msmarco,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,253.066721200943,0.0966043127654939
47,connectivity/bert_ft_qqp-1,ag_news,connectivity/bert_ft_qqp-1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,217.19657397270203,0.0934979829119176
48,connectivity/bert_ft_qqp-96,ag_news,connectivity/bert_ft_qqp-96,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,225.4625465869904,0.0927802876840027
49,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,ag_news,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.0644187927246,0.0917218095068032
50,aXhyra/emotion_trained_31415,ag_news,aXhyra/emotion_trained_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.34640049934387,0.0905684915048155
51,Jeevesh8/bert_ft_qqp-39,ag_news,Jeevesh8/bert_ft_qqp-39,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,268.5784311294556,0.0897085994361
52,connectivity/bert_ft_qqp-25,ag_news,connectivity/bert_ft_qqp-25,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,219.9471981525421,0.0884476753985551
53,Jeevesh8/bert_ft_qqp-9,ag_news,Jeevesh8/bert_ft_qqp-9,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,269.22264766693115,0.085667459522334
54,cardiffnlp/twitter-roberta-base-2021-124m,ag_news,cardiffnlp/twitter-roberta-base-2021-124m,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,211.98663139343265,0.0850894049691781
55,aXhyra/presentation_emotion_31415,ag_news,aXhyra/presentation_emotion_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,135.97724795341492,0.0844826017246513
56,navsad/navid_test_bert,ag_news,navsad/navid_test_bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,279.3781309127808,0.0831250511964471
57,Jeevesh8/bert_ft_qqp-88,ag_news,Jeevesh8/bert_ft_qqp-88,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,226.13889956474304,0.0829577136796388
58,Jeevesh8/bert_ft_qqp-55,ag_news,Jeevesh8/bert_ft_qqp-55,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,252.12364673614505,0.0784029959634216
59,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,ag_news,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.3028154373169,0.0777590830321203
60,jaesun/distilbert-base-uncased-finetuned-cola,ag_news,jaesun/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.53534865379332,0.0769895345618182
61,aychang/bert-base-cased-trec-coarse,ag_news,aychang/bert-base-cased-trec-coarse,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,236.3531756401062,0.0768401049729302
62,emrecan/bert-base-multilingual-cased-snli_tr,ag_news,emrecan/bert-base-multilingual-cased-snli_tr,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,296.5580894947052,0.0739514357990039
63,crcb/isear_bert,ag_news,crcb/isear_bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,228.4068727493286,0.073928999337713
64,Jeevesh8/bert_ft_qqp-40,ag_news,Jeevesh8/bert_ft_qqp-40,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,225.16957449913025,0.07347710732114
65,Jeevesh8/init_bert_ft_qqp-33,ag_news,Jeevesh8/init_bert_ft_qqp-33,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,176.91719150543213,0.0728242909705026
66,Jeevesh8/init_bert_ft_qqp-24,ag_news,Jeevesh8/init_bert_ft_qqp-24,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,219.8747317790985,0.0685835999727348
67,Jeevesh8/feather_berts_46,ag_news,Jeevesh8/feather_berts_46,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.7158796787262,0.0684477702569514
68,connectivity/bert_ft_qqp-17,ag_news,connectivity/bert_ft_qqp-17,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.4763250350952,0.0675041473119525
69,Jeevesh8/lecun_feather_berts-8,ag_news,Jeevesh8/lecun_feather_berts-8,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.2769160270691,0.0665502137483457
70,Jeevesh8/feather_berts_92,ag_news,Jeevesh8/feather_berts_92,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,225.6916732788086,0.0658905474897162
71,Jeevesh8/lecun_feather_berts-7,ag_news,Jeevesh8/lecun_feather_berts-7,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,217.5724048614502,0.0625906002851242
72,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,ag_news,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.07522869110107,0.0624793725282567
73,Jeevesh8/feather_berts_96,ag_news,Jeevesh8/feather_berts_96,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,269.9632270336151,0.0622952771775566
74,abdelkader/distilbert-base-uncased-finetuned-emotion,ag_news,abdelkader/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.2870547771454,0.0612271091568476
75,Jeevesh8/init_bert_ft_qqp-49,ag_news,Jeevesh8/init_bert_ft_qqp-49,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,221.0749084949493,0.0609136614507017
76,JB173/distilbert-base-uncased-finetuned-emotion,ag_news,JB173/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.70809841156006,0.0601994748852044
77,connectivity/feather_berts_28,ag_news,connectivity/feather_berts_28,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.3622612953186,0.0596129634648938
78,Jeevesh8/lecun_feather_berts-3,ag_news,Jeevesh8/lecun_feather_berts-3,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,268.6139986515045,0.0578390007290656
79,Jeevesh8/lecun_feather_berts-51,ag_news,Jeevesh8/lecun_feather_berts-51,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,254.26510643959045,0.056365253470657
80,Nanatan/distilbert-base-uncased-finetuned-emotion,ag_news,Nanatan/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.0069751739502,0.0558118281976494
81,Jeevesh8/bert_ft_qqp-68,ag_news,Jeevesh8/bert_ft_qqp-68,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.47126579284668,0.0551104339364019
82,arianpasquali/distilbert-base-multilingual-cased-toxicity,ag_news,arianpasquali/distilbert-base-multilingual-cased-toxicity,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,125.12169909477234,0.0542090263639117
83,Jeevesh8/init_bert_ft_qqp-28,ag_news,Jeevesh8/init_bert_ft_qqp-28,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.73236632347107,0.0530706937433463
84,aditeyabaral/finetuned-sail2017-xlm-roberta-base,ag_news,aditeyabaral/finetuned-sail2017-xlm-roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,235.45147132873527,0.0500900457984541
85,ishan/bert-base-uncased-mnli,ag_news,ishan/bert-base-uncased-mnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,268.7947196960449,0.0495208841972654
86,manueltonneau/bert-twitter-en-is-hired,ag_news,manueltonneau/bert-twitter-en-is-hired,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,225.24846839904785,0.0482622755421199
87,marcelcastrobr/sagemaker-distilbert-emotion,ag_news,marcelcastrobr/sagemaker-distilbert-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.31999135017396,0.0467461409440496
88,aviator-neural/bert-base-uncased-sst2,ag_news,aviator-neural/bert-base-uncased-sst2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.7097630500793,0.0432627862954797
89,connectivity/bert_ft_qqp-7,ag_news,connectivity/bert_ft_qqp-7,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,221.21670985221863,0.0426619657383932
90,vaariis/distilbert-base-uncased-finetuned-emotion,ag_news,vaariis/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.43077731132507,0.0418688355366277
91,moghis/distilbert-base-uncased-finetuned-emotion,ag_news,moghis/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.86799359321594,0.0415807294521112
92,neibla/distilbert-base-uncased-finetuned-emotion,ag_news,neibla/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.867116689682,0.0410147296972434
93,fabriceyhc/bert-base-uncased-imdb,ag_news,fabriceyhc/bert-base-uncased-imdb,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,252.02121829986567,0.0398555493052923
94,uygarkurt/distilbert-base-uncased-finetuned-emotion,ag_news,uygarkurt/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,244.3436450958252,0.0373005180036146
95,viviastaari/finetuning-sentiment-analysis-en-id,ag_news,viviastaari/finetuning-sentiment-analysis-en-id,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,123.78978681564332,0.0360490482857658
96,connectivity/bert_ft_qqp-94,ag_news,connectivity/bert_ft_qqp-94,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.0154528617859,0.0349853949798748
97,M47Labs/spanish_news_classification_headlines_untrained,ag_news,M47Labs/spanish_news_classification_headlines_untrained,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,318.0002226829529,0.0255009955904598
98,anvay/finetuning-cardiffnlp-sentiment-model,ag_news,anvay/finetuning-cardiffnlp-sentiment-model,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,214.326959848404,0.0239712352911996
99,jasonyim2/distilbert-base-uncased-finetuned-emotion,ag_news,jasonyim2/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.45609617233276,0.0148289839141096
100,boychaboy/MNLI_roberta-base,ag_news,boychaboy/MNLI_roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,211.31219840049744,0.005972825665645
101,phailyoor/distilbert-base-uncased-finetuned-yahd,ag_news,phailyoor/distilbert-base-uncased-finetuned-yahd,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.92104268074036,0.0051467662786554
102,Anthos23/FS-distilroberta-fine-tuned,ag_news,Anthos23/FS-distilroberta-fine-tuned,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,138.43207383155823,0.0036803170613227
103,18811449050/bert_finetuning_test,ag_news,18811449050/bert_finetuning_test,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,206.4248473644257,-0.0042690111443423
104,cointegrated/roberta-base-formality,ag_news,cointegrated/roberta-base-formality,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,249.32362294197085,-0.0067118800382061
105,korca/bae-roberta-base-boolq,ag_news,korca/bae-roberta-base-boolq,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,249.3620352745056,-0.0178782664788825
106,cross-encoder/ms-marco-MiniLM-L-4-v2,ag_news,cross-encoder/ms-marco-MiniLM-L-4-v2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,52.016327142715454,-0.0297464922313594
107,juliensimon/autonlp-imdb-demo-hf-16622767,ag_news,juliensimon/autonlp-imdb-demo-hf-16622767,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,113.92235779762268,-0.0302126857842879
108,cross-encoder/quora-distilroberta-base,ag_news,cross-encoder/quora-distilroberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,112.68855619430542,-0.0335498282459137
109,oferweintraub/bert-base-finance-sentiment-noisy-search,ag_news,oferweintraub/bert-base-finance-sentiment-noisy-search,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,226.57398533821103,-0.0339178959246471
110,jb2k/bert-base-multilingual-cased-language-detection,ag_news,jb2k/bert-base-multilingual-cased-language-detection,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,246.2034797668457,-0.0362914069864821
111,anferico/bert-for-patents,ag_news,anferico/bert-for-patents,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,714.5434379577637,-0.0688667532386177
112,Aureliano/distilbert-base-uncased-if,ag_news,Aureliano/distilbert-base-uncased-if,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,140.7628939151764,-0.0810433704730108
113,kyleinincubated/autonlp-cat333-624217911,ag_news,kyleinincubated/autonlp-cat333-624217911,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,294.94649744033813,-0.0819470932177269
114,morenolq/SumTO_FNS2020,ag_news,morenolq/SumTO_FNS2020,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,235.4546954631805,-0.0826726684990331
115,vesteinn/XLMR-ENIS-finetuned-cola,ag_news,vesteinn/XLMR-ENIS-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,242.76142930984497,-0.0841131870308948
116,ChrisUPM/BioBERT_Re_trained,ag_news,ChrisUPM/BioBERT_Re_trained,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,244.86095905303955,-0.0987695143842234
117,IMSyPP/hate_speech_it,ag_news,IMSyPP/hate_speech_it,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,226.8212640285492,-0.1115100327831124
118,mrm8488/codebert-base-finetuned-detect-insecure-code,ag_news,mrm8488/codebert-base-finetuned-detect-insecure-code,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,212.10178089141849,-0.1129948028758688
119,moshew/bert-mini-sst2-distilled,ag_news,moshew/bert-mini-sst2-distilled,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,65.22082614898682,-0.1133713842899353
120,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,ag_news,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,299.0906448364258,-0.1244445080965991
121,bondi/bert-semaphore-prediction-w4,ag_news,bondi/bert-semaphore-prediction-w4,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,333.3696389198303,-0.125561007737579
122,finiteautomata/betonews-tweetcontext,ag_news,finiteautomata/betonews-tweetcontext,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,334.1015160083771,-0.1352329198176565
123,strickvl/nlp-redaction-classifier,ag_news,strickvl/nlp-redaction-classifier,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,192.1430509090424,-0.1451318739485078
124,AnonymousSub/dummy_2,ag_news,AnonymousSub/dummy_2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,246.1692771911621,-0.1623337370994585
125,Recognai/bert-base-spanish-wwm-cased-xnli,ag_news,Recognai/bert-base-spanish-wwm-cased-xnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,325.110910654068,-0.1930408055769998
126,classla/bcms-bertic-parlasent-bcs-ter,ag_news,classla/bcms-bertic-parlasent-bcs-ter,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,328.901472568512,-0.1947259127776637
127,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,ag_news,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,263.1190047264099,-0.1994590616841132
128,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,ag_news,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,292.7875807285309,-0.2027444777359966
129,nreimers/mmarco-mMiniLMv2-L6-H384-v1,ag_news,nreimers/mmarco-mMiniLMv2-L6-H384-v1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,64.8894407749176,-0.2255475929527703
130,IMSyPP/hate_speech_nl,ag_news,IMSyPP/hate_speech_nl,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,330.8094847202301,-0.243322109841285
131,Guscode/DKbert-hatespeech-detection,ag_news,Guscode/DKbert-hatespeech-detection,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,246.26271891593933,-0.2567382573451093
132,elozano/tweet_offensive_eval,ag_news,elozano/tweet_offensive_eval,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,246.19899487495425,-0.2691141591762085
133,rmihaylov/roberta-base-sentiment-bg,ag_news,rmihaylov/roberta-base-sentiment-bg,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,145.4591646194458,-0.2915677844222683
134,dhimskyy/wiki-bert,ag_news,dhimskyy/wiki-bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,269.0381598472595,-0.2919355793920334
135,milyiyo/selectra-small-finetuned-amazon-review,ag_news,milyiyo/selectra-small-finetuned-amazon-review,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,100.71703481674194,-0.324334197664366
136,mrm8488/electricidad-base-finetuned-pawsx-es,ag_news,mrm8488/electricidad-base-finetuned-pawsx-es,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,337.421843290329,-0.3256041673082616
137,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,ag_news,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,299.19767212867737,-0.3264070716659516
