,dataset,model,accuracy,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
24,glue/cola,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7684729064039407,glue/cola,riyadhctg/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.729792356491089,2.522563536505189
33,glue/cola,connectivity/cola_6ep_ft-33,0.8423645320197043,glue/cola,connectivity/cola_6ep_ft-33,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.356728315353394,3.0869166247105424
39,glue/cola,connectivity/cola_6ep_ft-22,0.8866995073891625,glue/cola,connectivity/cola_6ep_ft-22,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.869605779647827,3.3040827699187494
43,glue/cola,vesteinn/XLMR-ENIS-finetuned-cola,0.9655172413793104,glue/cola,vesteinn/XLMR-ENIS-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.701174974441528,2.779656283747852
55,glue/cola,jaesun/distilbert-base-uncased-finetuned-cola,0.748768472906404,glue/cola,jaesun/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.509796619415283,2.8508766255816966
56,glue/cola,usami/distilbert-base-uncased-finetuned-cola,0.7832512315270936,glue/cola,usami/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.053242444992065,2.3751791820412933
66,glue/cola,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.8719211822660096,glue/cola,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.751770257949829,4.013049262542817
73,glue/cola,connectivity/cola_6ep_ft-10,0.8768472906403939,glue/cola,connectivity/cola_6ep_ft-10,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.659385681152344,3.2371650487608385
77,glue/cola,Jeevesh8/6ep_bert_ft_cola-12,0.8669950738916259,glue/cola,Jeevesh8/6ep_bert_ft_cola-12,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.463740348815918,3.9512804843828175
85,glue/cola,Jeevesh8/6ep_bert_ft_cola-47,0.8866995073891625,glue/cola,Jeevesh8/6ep_bert_ft_cola-47,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.033312559127808,4.050311778852439
92,glue/cola,Jeevesh8/6ep_bert_ft_cola-29,0.9014778325123155,glue/cola,Jeevesh8/6ep_bert_ft_cola-29,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.885305881500244,3.886017069413686
122,glue/cola,navsad/navid_test_bert,0.9704433497536947,glue/cola,navsad/navid_test_bert,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.273785829544067,2.660405584921312
126,glue/cola,Jeevesh8/bert_ft_cola-60,0.8916256157635468,glue/cola,Jeevesh8/bert_ft_cola-60,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.455518007278442,2.2848659136592673
127,glue/cola,Jeevesh8/bert_ft_cola-88,0.8571428571428572,glue/cola,Jeevesh8/bert_ft_cola-88,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.956295490264893,2.4294404466971056
0,tweet_eval/emotion,pietrotrope/emotion_final,0.7763629545454546,tweet_eval/emotion,pietrotrope/emotion_final,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.249068021774292,6.932844275609039
1,tweet_eval/emotion,aXhyra/emotion_trained_31415,0.72,tweet_eval/emotion,aXhyra/emotion_trained_31415,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.265676975250244,7.437655545249963
2,tweet_eval/emotion,aXhyra/presentation_emotion_31415,0.715,tweet_eval/emotion,aXhyra/presentation_emotion_31415,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.203657627105713,5.122717745635872
19,tweet_eval/emotion,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.8750000000000001,tweet_eval/emotion,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,4.010320901870728,0.5405147410703959
21,tweet_eval/emotion,crcb/isear_bert,0.861842105263158,tweet_eval/emotion,crcb/isear_bert,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,4.204580545425415,0.7604404077788245
43,tweet_eval/emotion,pietrotrope/emotion_final,0.8815789473684211,tweet_eval/emotion,pietrotrope/emotion_final,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.249068021774292,6.932844275609039
62,tweet_eval/emotion,aXhyra/demo_sentiment_31415,0.9144736842105262,tweet_eval/emotion,aXhyra/demo_sentiment_31415,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.2750720977783203,0.6810359140940989
65,tweet_eval/emotion,aXhyra/presentation_sentiment_1234567,0.9144736842105262,tweet_eval/emotion,aXhyra/presentation_sentiment_1234567,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.649888515472412,0.6816744032710788
76,tweet_eval/emotion,aXhyra/emotion_trained_31415,0.868421052631579,tweet_eval/emotion,aXhyra/emotion_trained_31415,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.265676975250244,7.437655545249963
78,tweet_eval/emotion,aXhyra/presentation_emotion_31415,0.8750000000000001,tweet_eval/emotion,aXhyra/presentation_emotion_31415,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,2.203657627105713,5.122717745635872
153,tweet_eval/emotion,anvay/finetuning-cardiffnlp-sentiment-model,0.9934210526315789,tweet_eval/emotion,anvay/finetuning-cardiffnlp-sentiment-model,emotion,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,3.8666880130767822,0.9022650042463012
0,tweet_eval/sentiment,aXhyra/demo_sentiment_31415,0.711,tweet_eval/sentiment,aXhyra/demo_sentiment_31415,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,45.0800518989563,3.150287551478781
1,tweet_eval/sentiment,aXhyra/presentation_sentiment_1234567,0.718,tweet_eval/sentiment,aXhyra/presentation_sentiment_1234567,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,23.69776201248169,6.281732501355812
4,tweet_eval/sentiment,PrasunMishra/finetuning-sentiment-model-3000-samples,0.952755905511811,tweet_eval/sentiment,PrasunMishra/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,43.853044509887695,0.685032630219287
7,tweet_eval/sentiment,yukta10/finetuning-sentiment-model-3000-samples,0.9165354330708663,tweet_eval/sentiment,yukta10/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,26.97315359115601,0.6720102641231601
10,tweet_eval/sentiment,Jeevesh8/feather_berts_46,0.968503937007874,tweet_eval/sentiment,Jeevesh8/feather_berts_46,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,43.48685693740845,0.5591531481074582
12,tweet_eval/sentiment,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.9448818897637796,tweet_eval/sentiment,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,41.84622073173523,0.9389663991948413
15,tweet_eval/sentiment,crcb/isear_bert,0.9338582677165354,tweet_eval/sentiment,crcb/isear_bert,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,48.06848406791687,0.8992477315499393
16,tweet_eval/sentiment,dapang/distilroberta-base-mic-sym,0.9086614173228346,tweet_eval/sentiment,dapang/distilroberta-base-mic-sym,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,22.345693349838257,0.5074483123806445
20,tweet_eval/sentiment,heranm/finetuning-sentiment-model-3000-samples,0.9448818897637796,tweet_eval/sentiment,heranm/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,27.749647617340088,0.7160722120258666
25,tweet_eval/sentiment,PrasunMishra/finetuning-sentiment-model-3000-samples,0.9259842519685041,tweet_eval/sentiment,PrasunMishra/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,43.853044509887695,0.685032630219287
26,tweet_eval/sentiment,dapang/distilroberta-base-mic-sym,0.9385826771653545,tweet_eval/sentiment,dapang/distilroberta-base-mic-sym,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,22.345693349838257,0.5074483123806445
31,tweet_eval/sentiment,yukta10/finetuning-sentiment-model-3000-samples,0.9149606299212598,tweet_eval/sentiment,yukta10/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,26.97315359115601,0.6720102641231601
35,tweet_eval/sentiment,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.95748031496063,tweet_eval/sentiment,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,41.84622073173523,0.9389663991948413
36,tweet_eval/sentiment,crcb/isear_bert,0.941732283464567,tweet_eval/sentiment,crcb/isear_bert,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,48.06848406791687,0.8992477315499393
40,tweet_eval/sentiment,Jeevesh8/feather_berts_46,0.9637795275590553,tweet_eval/sentiment,Jeevesh8/feather_berts_46,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,43.48685693740845,0.5591531481074582
43,tweet_eval/sentiment,ncduy/roberta-imdb-sentiment-analysis,0.9433070866141732,tweet_eval/sentiment,ncduy/roberta-imdb-sentiment-analysis,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,41.754318952560425,0.6018577453882723
54,tweet_eval/sentiment,Anthos23/FS-distilroberta-fine-tuned,0.9307086614173228,tweet_eval/sentiment,Anthos23/FS-distilroberta-fine-tuned,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,27.353950262069706,1.1216499347069098
56,tweet_eval/sentiment,pietrotrope/emotion_final,0.9086614173228346,tweet_eval/sentiment,pietrotrope/emotion_final,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,27.52597284317017,0.7860770037032047
62,tweet_eval/sentiment,aviator-neural/bert-base-uncased-sst2,0.8834645669291338,tweet_eval/sentiment,aviator-neural/bert-base-uncased-sst2,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,42.80991744995117,0.5221446663878894
66,tweet_eval/sentiment,connectivity/feather_berts_28,0.9511811023622049,tweet_eval/sentiment,connectivity/feather_berts_28,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,42.67348051071167,0.680020757940172
67,tweet_eval/sentiment,markt23917/finetuning-sentiment-model-3000-samples,0.9606299212598427,tweet_eval/sentiment,markt23917/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,19.55027937889099,0.7071400176815084
73,tweet_eval/sentiment,aXhyra/demo_sentiment_31415,0.9606299212598427,tweet_eval/sentiment,aXhyra/demo_sentiment_31415,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,45.0800518989563,3.150287551478781
74,tweet_eval/sentiment,aXhyra/presentation_sentiment_1234567,0.9070866141732284,tweet_eval/sentiment,aXhyra/presentation_sentiment_1234567,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,23.69776201248169,6.281732501355812
85,tweet_eval/sentiment,aXhyra/emotion_trained_31415,0.9228346456692914,tweet_eval/sentiment,aXhyra/emotion_trained_31415,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,23.395082235336304,0.7660989372936177
86,tweet_eval/sentiment,aXhyra/presentation_emotion_31415,0.9291338582677167,tweet_eval/sentiment,aXhyra/presentation_emotion_31415,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.490172863006592,0.9006157455035411
87,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-3,0.921259842519685,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-3,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,42.71301031112671,0.6168736007529466
93,tweet_eval/sentiment,Jeevesh8/feather_berts_96,0.9448818897637796,tweet_eval/sentiment,Jeevesh8/feather_berts_96,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,41.96919465065002,0.6577951925755944
97,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-51,0.9196850393700788,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-51,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,85.43583178520203,0.6376666763961834
104,tweet_eval/sentiment,vinai/bertweet-base,0.9716535433070866,tweet_eval/sentiment,vinai/bertweet-base,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,40.33772826194763,0.8158664453389689
109,tweet_eval/sentiment,vinai/bertweet-covid19-base-cased,0.1779527559055118,tweet_eval/sentiment,vinai/bertweet-covid19-base-cased,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,39.1556670665741,0.8229828553157847
111,tweet_eval/sentiment,roberta-base,0.984251968503937,tweet_eval/sentiment,roberta-base,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,40.04536366462708,0.6073113349787926
117,tweet_eval/sentiment,juliensimon/autonlp-imdb-demo-hf-16622767,0.9259842519685041,tweet_eval/sentiment,juliensimon/autonlp-imdb-demo-hf-16622767,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,19.4456307888031,0.543317800804888
120,tweet_eval/sentiment,cardiffnlp/twitter-roberta-base-2021-124m,0.9464566929133857,tweet_eval/sentiment,cardiffnlp/twitter-roberta-base-2021-124m,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,41.87095546722412,0.6156362445783555
121,tweet_eval/sentiment,vinai/bertweet-covid19-base-uncased,1.0,tweet_eval/sentiment,vinai/bertweet-covid19-base-uncased,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,40.93562030792236,0.8178859389517142
123,tweet_eval/sentiment,Alassea/glue_sst_classifier,0.9118110236220471,tweet_eval/sentiment,Alassea/glue_sst_classifier,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,52.216384172439575,0.773913253786178
125,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-8,0.9133858267716537,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-8,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,34.9643075466156,0.6370324268408585
128,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-7,0.9291338582677167,tweet_eval/sentiment,Jeevesh8/lecun_feather_berts-7,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,86.1168463230133,0.657388501011447
141,tweet_eval/sentiment,ishan/bert-base-uncased-mnli,0.9480314960629923,tweet_eval/sentiment,ishan/bert-base-uncased-mnli,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,34.92539143562317,0.6210366253844095
144,tweet_eval/sentiment,aditeyabaral/finetuned-sail2017-xlm-roberta-base,0.9244094488188975,tweet_eval/sentiment,aditeyabaral/finetuned-sail2017-xlm-roberta-base,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,79.20750188827515,1.2169533167023692
150,tweet_eval/sentiment,boychaboy/MNLI_roberta-base,0.952755905511811,tweet_eval/sentiment,boychaboy/MNLI_roberta-base,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,81.9931092262268,0.7332477806399429
161,tweet_eval/sentiment,anvay/finetuning-cardiffnlp-sentiment-model,0.9968503937007874,tweet_eval/sentiment,anvay/finetuning-cardiffnlp-sentiment-model,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,40.85968375205994,2.3738020819094747
164,tweet_eval/sentiment,Jeevesh8/feather_berts_92,0.9291338582677167,tweet_eval/sentiment,Jeevesh8/feather_berts_92,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,50.00407338142395,0.6541976368064901
165,tweet_eval/sentiment,joebobby/finetuning-sentiment-model-5000-samples3,0.941732283464567,tweet_eval/sentiment,joebobby/finetuning-sentiment-model-5000-samples3,sentiment,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,43.75362014770508,0.8321624172897097
0,tweet_eval/offensive,elozano/tweet_offensive_eval,0.7763629545454546,tweet_eval/offensive,elozano/tweet_offensive_eval,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,14.898250341415403,1.3569500963952394
2,tweet_eval/offensive,vaariis/distilbert-base-uncased-finetuned-emotion,0.9684210526315788,tweet_eval/offensive,vaariis/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.531370162963867,0.6829495643792014
6,tweet_eval/offensive,abdelkader/distilbert-base-uncased-finetuned-emotion,0.9631578947368419,tweet_eval/offensive,abdelkader/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.018707990646362,0.6156511973662023
7,tweet_eval/offensive,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.9842105263157898,tweet_eval/offensive,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.54642391204834,0.8737091891790882
8,tweet_eval/offensive,yukta10/finetuning-sentiment-model-3000-samples,0.9000000000000002,tweet_eval/offensive,yukta10/finetuning-sentiment-model-3000-samples,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.40730094909668,0.9408961382921444
9,tweet_eval/offensive,PrasunMishra/finetuning-sentiment-model-3000-samples,0.994736842105263,tweet_eval/offensive,PrasunMishra/finetuning-sentiment-model-3000-samples,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,7.888236999511719,0.9059943059383203
14,tweet_eval/offensive,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.8789473684210523,tweet_eval/offensive,jasonyim2/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,8.038673400878906,0.5607302368334734
16,tweet_eval/offensive,uygarkurt/distilbert-base-uncased-finetuned-emotion,0.9631578947368419,tweet_eval/offensive,uygarkurt/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.441406726837158,0.5827986517846988
19,tweet_eval/offensive,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.8526315789473681,tweet_eval/offensive,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.565948009490967,1.0100769888840022
20,tweet_eval/offensive,Jeevesh8/feather_berts_46,0.9473684210526316,tweet_eval/offensive,Jeevesh8/feather_berts_46,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,14.581343412399292,0.5989875099528197
21,tweet_eval/offensive,connectivity/cola_6ep_ft-33,0.9315789473684214,tweet_eval/offensive,connectivity/cola_6ep_ft-33,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.87228775024414,0.5066909317397562
25,tweet_eval/offensive,SetFit/distilbert-base-uncased__sst2__train-32-9,0.9052631578947364,tweet_eval/offensive,SetFit/distilbert-base-uncased__sst2__train-32-9,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.851991176605225,0.7153956852152794
26,tweet_eval/offensive,arianpasquali/distilbert-base-multilingual-cased-toxicity,0.7736842105263155,tweet_eval/offensive,arianpasquali/distilbert-base-multilingual-cased-toxicity,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,8.59316110610962,0.6902067373955918
30,tweet_eval/offensive,pietrotrope/emotion_final,0.9526315789473686,tweet_eval/offensive,pietrotrope/emotion_final,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.52236771583557,1.028630010061167
33,tweet_eval/offensive,Anthos23/FS-distilroberta-fine-tuned,0.8052631578947367,tweet_eval/offensive,Anthos23/FS-distilroberta-fine-tuned,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.021835327148438,0.6866633158703579
35,tweet_eval/offensive,markt23917/finetuning-sentiment-model-3000-samples,0.8894736842105262,tweet_eval/offensive,markt23917/finetuning-sentiment-model-3000-samples,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.125810146331789,0.9445883224882629
36,tweet_eval/offensive,moghis/distilbert-base-uncased-finetuned-emotion,0.8736842105263161,tweet_eval/offensive,moghis/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.946726083755491,0.5684795589382916
40,tweet_eval/offensive,aviator-neural/bert-base-uncased-sst2,0.8421052631578949,tweet_eval/offensive,aviator-neural/bert-base-uncased-sst2,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,20.87956213951111,0.5779499150769808
44,tweet_eval/offensive,usami/distilbert-base-uncased-finetuned-cola,0.9263157894736844,tweet_eval/offensive,usami/distilbert-base-uncased-finetuned-cola,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,10.092275857925417,0.5450819931656414
45,tweet_eval/offensive,aXhyra/demo_sentiment_31415,0.9526315789473686,tweet_eval/offensive,aXhyra/demo_sentiment_31415,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.666165590286257,1.1870133872764317
46,tweet_eval/offensive,aXhyra/presentation_emotion_31415,0.9736842105263158,tweet_eval/offensive,aXhyra/presentation_emotion_31415,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,11.663867712020874,1.1517017515988572
47,tweet_eval/offensive,aXhyra/emotion_trained_31415,0.9842105263157898,tweet_eval/offensive,aXhyra/emotion_trained_31415,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,18.37942624092102,1.043163458693704
48,tweet_eval/offensive,JB173/distilbert-base-uncased-finetuned-emotion,0.8842105263157892,tweet_eval/offensive,JB173/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,TransferabilityMetric.LOG_ME,16.0,tweet_eval,9.883891344070436,0.708181165813668
